division,team,team_wikipedia_url,qb_name,qb_wikipedia_url,qb_image_url
NFC North,Chicago Bears,http://en.wikipedia.org/wiki/Chicago_Bears,Jay Cutler,http://en.wikipedia.org/wiki/Jay_Cutler_(American_football),http://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Jay_Cutler_-_11-01-2009_%28cropped%29.jpg/250px-Jay_Cutler_-_11-01-2009_%28cropped%29.jpg
NFC North,Chicago Bears,http://en.wikipedia.org/wiki/Chicago_Bears,Jimmy Clausen,http://en.wikipedia.org/wiki/Jimmy_Clausen,http://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Jimmy_Clausen_Ravens_2015.jpg/200px-Jimmy_Clausen_Ravens_2015.jpg
AFC North,Cincinnati Bengals,http://en.wikipedia.org/wiki/Cincinnati_Bengals,Andy Dalton,http://en.wikipedia.org/wiki/Andy_Dalton_(American_football),http://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/AndyDalton.jpg/275px-AndyDalton.jpg
AFC North,Cincinnati Bengals,http://en.wikipedia.org/wiki/Cincinnati_Bengals,AJ McCarron,http://en.wikipedia.org/wiki/AJ_McCarron,http://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/A.J.McCarron.png/205px-A.J.McCarron.png
AFC North,Cleveland Browns,http://en.wikipedia.org/wiki/Cleveland_Browns,Josh McCown,http://en.wikipedia.org/wiki/Josh_McCown,http://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Josh_McCown_2015.jpg/220px-Josh_McCown_2015.jpg
AFC North,Cleveland Browns,http://en.wikipedia.org/wiki/Cleveland_Browns,Johnny Manziel,http://en.wikipedia.org/wiki/Johnny_Manziel,http://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Johnny_Manziel_2015.jpg/220px-Johnny_Manziel_2015.jpg
AFC North,Cleveland Browns,http://en.wikipedia.org/wiki/Cleveland_Browns,Austin Davis,http://en.wikipedia.org/wiki/Austin_Davis,http://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Austindavis8-6-2013rams.jpg/220px-Austindavis8-6-2013rams.jpg
NFC East,Dallas Cowboys,http://en.wikipedia.org/wiki/Dallas_Cowboys,Matt Cassel,http://en.wikipedia.org/wiki/Matt_Cassel,http://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Matt_Cassel_Chiefs_2010_%28cropped%29.jpg/250px-Matt_Cassel_Chiefs_2010_%28cropped%29.jpg
NFC East,Dallas Cowboys,http://en.wikipedia.org/wiki/Dallas_Cowboys,Tony Romo,http://en.wikipedia.org/wiki/Tony_Romo,http://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Tony_Romo_2015.jpg/200px-Tony_Romo_2015.jpg
NFC East,Dallas Cowboys,http://en.wikipedia.org/wiki/Dallas_Cowboys,Brandon Weeden,http://en.wikipedia.org/wiki/Brandon_Weeden,http://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Brandon_Weeden_%28CROP%29.jpg/220px-Brandon_Weeden_%28CROP%29.jpg
NFC East,Dallas Cowboys,http://en.wikipedia.org/wiki/Dallas_Cowboys,Kellen Moore,http://en.wikipedia.org/wiki/Kellen_Moore,http://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Kellen_Moore_in_2012.jpg/220px-Kellen_Moore_in_2012.jpg
AFC West,Denver Broncos,http://en.wikipedia.org/wiki/Denver_Broncos,Peyton Manning,http://en.wikipedia.org/wiki/Peyton_Manning,http://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Peyton_Manning_%28cropped%29.jpg/250px-Peyton_Manning_%28cropped%29.jpg
AFC West,Denver Broncos,http://en.wikipedia.org/wiki/Denver_Broncos,Brock Osweiler,http://en.wikipedia.org/wiki/Brock_Osweiler,http://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Brock_Osweiler.JPG/220px-Brock_Osweiler.JPG
NFC North,Detroit Lions,http://en.wikipedia.org/wiki/Detroit_Lions,Matthew Stafford,http://en.wikipedia.org/wiki/Matthew_Stafford,http://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Matthew_stafford_2014.jpg/300px-Matthew_stafford_2014.jpg
NFC North,Green Bay Packers,http://en.wikipedia.org/wiki/Green_Bay_Packers,Aaron Rodgers,http://en.wikipedia.org/wiki/Aaron_Rodgers,http://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Aaron_rodgers_2014.jpg/300px-Aaron_rodgers_2014.jpg
AFC South,Houston Texans,http://en.wikipedia.org/wiki/Houston_Texans,Brian Hoyer,http://en.wikipedia.org/wiki/Brian_Hoyer,http://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Brian_Hoyer_2014_Browns_training_camp_%284%29.jpg/250px-Brian_Hoyer_2014_Browns_training_camp_%284%29.jpg
AFC South,Houston Texans,http://en.wikipedia.org/wiki/Houston_Texans,Ryan Mallett,http://en.wikipedia.org/wiki/Ryan_Mallett,http://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Ryan_Mallett_2015.jpg/220px-Ryan_Mallett_2015.jpg
AFC South,Houston Texans,http://en.wikipedia.org/wiki/Houston_Texans,T.J. Yates,http://en.wikipedia.org/wiki/T.J._Yates,http://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/T._J._Yates_2015.jpg/220px-T._J._Yates_2015.jpg
AFC South,Houston Texans,http://en.wikipedia.org/wiki/Houston_Texans,Brandon Weeden,http://en.wikipedia.org/wiki/Brandon_Weeden,http://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Brandon_Weeden_%28CROP%29.jpg/220px-Brandon_Weeden_%28CROP%29.jpg
AFC South,Indianapolis Colts,http://en.wikipedia.org/wiki/Indianapolis_Colts,Matt Hasselbeck,http://en.wikipedia.org/wiki/Matt_Hasselbeck,http://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Matt_Hasselbeck_2014.JPG/200px-Matt_Hasselbeck_2014.JPG
AFC South,Indianapolis Colts,http://en.wikipedia.org/wiki/Indianapolis_Colts,Andrew Luck,http://en.wikipedia.org/wiki/Andrew_Luck,http://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Andrew_Luck.JPG/225px-Andrew_Luck.JPG
AFC South,Indianapolis Colts,http://en.wikipedia.org/wiki/Indianapolis_Colts,Josh Freeman,http://en.wikipedia.org/wiki/Josh_Freeman,http://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Josh_Freeman_2012.JPG/220px-Josh_Freeman_2012.JPG
AFC South,Jacksonville Jaguars,http://en.wikipedia.org/wiki/Jacksonville_Jaguars,Blake Bortles,http://en.wikipedia.org/wiki/Blake_Bortles,http://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/20140914_Blake_Bortles.jpg/220px-20140914_Blake_Bortles.jpg
AFC West,Kansas City Chiefs,http://en.wikipedia.org/wiki/Kansas_City_Chiefs,Alex Smith,http://en.wikipedia.org/wiki/Alex_Smith,http://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Alex_Smith_2014_Pro_Bowl.jpg/220px-Alex_Smith_2014_Pro_Bowl.jpg
AFC East,Miami Dolphins,http://en.wikipedia.org/wiki/Miami_Dolphins,Ryan Tannehill,http://en.wikipedia.org/wiki/Ryan_Tannehill,http://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Ryan_tannehill_2015.jpg/275px-Ryan_tannehill_2015.jpg
NFC North,Minnesota Vikings,http://en.wikipedia.org/wiki/Minnesota_Vikings,Teddy Bridgewater,http://en.wikipedia.org/wiki/Teddy_Bridgewater,http://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Teddy_Bridgewater_2015.JPG/225px-Teddy_Bridgewater_2015.JPG
AFC East,New England Patriots,http://en.wikipedia.org/wiki/New_England_Patriots,Tom Brady,http://en.wikipedia.org/wiki/Tom_Brady,http://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Tom_Brady_2011.JPG/275px-Tom_Brady_2011.JPG
NFC South,New Orleans Saints,http://en.wikipedia.org/wiki/New_Orleans_Saints,Drew Brees,http://en.wikipedia.org/wiki/Drew_Brees,http://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Drew_Brees_at_Saints_Super_Bowl_parade_2010-02-09.jpg/220px-Drew_Brees_at_Saints_Super_Bowl_parade_2010-02-09.jpg
